Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
ZYXI,"Zynex, Inc.",-0.89285714,-1.7699115,-1.33333333,3.4965035,6.47482014,11,2.65895954,-21.20674357,-14.61538462,215.09675386,Health Technology
ZYME,Zymeworks Inc.,-2.09497207,-1.75192712,1.44508671,0.42918455,5.56390977,10.72555205,-4.48979592,-16.42857143,4.93273543,-44.72440945,Health Technology
ZWS,Zurn Elkay Water Solutions Corporation,0.07561437,-0.22615907,1.03092784,1.53491942,2.63770365,-5.56745182,-12.41310824,24.05063291,15.24390244,128.04785178,Producer Manufacturing
ZVSA,"ZyVersa Therapeutics, Inc.",-0.96385542,2.75,-18.20895522,-20.63798563,-25.27272727,-36.52509653,-51.59010601,-85.13293543,-99.18045862,-99.16548223,Health Technology
ZVRA,"Zevra Therapeutics, Inc.",-0.55493896,-0.55493896,4.18604651,3.46420323,3.22580645,-7.05394191,-7.62886598,-8.75763747,-20.28469751,-86.72985782,Health Technology
ZVIA,Zevia PBC,-2.03045685,-1.53061224,2.10526316,3.74331551,8.98876404,-12.61261261,-28.93772894,-41.21212121,-58.54700855,-84.48,Consumer Non-Durables
ZURA,Zura Bio Limited,-1.15789474,-4.37881874,-4.27698574,-4.27698574,-5.05050505,-28.78787879,-31.28654971,-8.91472868,-53.46534653,-51.79487179,Health Technology
ZUO,"Zuora, Inc.",-0.47074647,0.06761325,1.92572215,1.92572215,1.78571429,-10.07281553,-35.50913838,0.54274084,-3.38983051,-63.88888889,Technology Services
ZUMZ,Zumiez Inc.,-0.42398546,0.12180268,1.2946979,0.73574494,2.6875,-7.69662921,-12.23290598,1.85988841,-27.55731922,-30.55790363,Retail Trade
ZTS,Zoetis Inc.,-0.01910463,0.4382177,-0.32378897,0,0.62167532,-9.7597425,-14.7804375,-6.54761905,3.21477878,75.91036415,Health Technology
ZTR,Virtus Total Return Fund Inc.,-0.20986359,-0.10504202,0.3164557,0.3164557,2.25806452,-0.9375,-22.93354943,-24.28343949,-26.50695518,-51.43003064,Miscellaneous
ZS,"Zscaler, Inc.",-0.10073029,0.29707351,0.8259737,1.19890313,2.79847121,1.99241597,-0.19496855,80.12485812,3.90231127,337.16253444,Technology Services
ZNTL,"Zentalis Pharmaceuticals, Inc.",0.49170252,1.05067985,1.99501247,2.25,0.98765432,-18.444666,-36.71179884,-22.24334601,-34.97615262,-35.07936508,Health Technology
ZM,"Zoom Video Communications, Inc.",-0.28196364,-0.07496876,-0.39853869,-0.03333333,1.16377129,-14.24077781,-16.13534676,-0.90864034,-28.33074441,-1.67213115,Technology Services
ZKIN,"ZK International Group Co., Ltd",-8.07133664,-8.07116762,-8.25688073,-5.21327014,3.09278351,-29.07801418,-17.6276771,-37.5,-20.63492063,-79.59183673,Producer Manufacturing
ZJYL,JIN MEDICAL INTERNATIONAL LTD.,7.35294118,7.7185017,-7.62800418,-1.88679245,-6.05738576,-62.22222222,-29.3935352,73.33333333,10.5,10.5,Health Technology
ZIVO,"Zivo Bioscience, Inc.",10.20408163,8,3.84615385,3.84615385,1.88679245,-65.37769092,-77.38241116,-84.37187437,-85.93468694,-96.12258769,Health Technology
ZIP,"ZipRecruiter, Inc.",-0.28063611,-0.88331009,-0.56022409,0.09398496,3.09777348,-11.17597998,-41.73960613,-34.86238532,-38.89845095,-46.75,Technology Services
ZION,Zions Bancorporation N.A.,-0.12949174,0.02431709,2.55984043,2.90193462,4.75382003,-11.57924907,-14.70832181,41.57870583,-39.62818004,-34.72280999,Finance
ZIMV,ZimVie Inc.,-0.56417489,0.49893086,-2.75482094,-2.08044383,0.56980057,-24.97343252,-49.06204906,-30.16815035,-13.37423313,-71.76,Health Technology
ZIM,ZIM Integrated Shipping Services Ltd.,-0.8974359,-1.27713921,-2.02531646,-2.02531646,-4.91400491,-25.93301435,-47.84366577,-53.42960289,-66.39166305,-32.69565217,Transportation
ZI,ZoomInfo Technologies Inc.,-0.03859514,-2.48493976,-13.02013423,-16.4410058,-15.51499348,-20.97560976,-29.56521739,-40.52317577,-71.09723461,-67.6,Technology Services
ZGN,Ermenegildo Zegna N.V.,-0.71556351,1.64835165,-1.15555556,-0.53667263,1.09090909,-20.11494253,-29.97481108,-13.32813718,2.96296296,7.96116505,Consumer Non-Durables
ZFOX,"ZeroFox Holdings, Inc.",-0.07840123,-0.00153846,-5.7025881,-2.28787879,-1.69207317,-26.64922657,-43.92173913,-17.96209134,-85.66888889,-93.551,Technology Services
ZEUS,"Olympic Steel, Inc.",0.01970055,0.82414855,-0.66523185,0.11831986,2.71090431,-9.67799324,-2.40292195,9.8204629,88.8764881,173.8403452,Producer Manufacturing
ZETA,Zeta Global Holdings Corp.,0.7751938,1.5625,2.63157895,3.03830911,1.82767624,-6.58682635,-10.85714286,-15.03267974,-4.87804878,-13.42952275,Technology Services
ZEPP,Zepp Health Corporation,2.94117647,2.94117647,0,3,2.67145136,-10.43478261,-20.76923077,-21.3740458,-16.2601626,-89.1350211,Consumer Durables
ZENV,Zenvia Inc.,-2.3255814,-11.08476586,-15.32940892,-16.33466135,-14.64108609,0,22.09302326,40.01885587,-44.14893617,-89.85507246,Technology Services
ZD,"Ziff Davis, Inc.",-0.39499671,-0.11553062,2.07665035,2.4398509,3.70497427,-5.07143979,-18.06477843,-10.29673591,-22.44740893,-3.90122406,Technology Services
ZCMD,Zhongchao Inc.,-0.00953016,-1.01886792,3.88118812,-1.93476026,-1.94392523,-4.61818182,-11.83193277,-12.56666667,1.48964984,-75.82488479,Commercial Services
ZBRA,Zebra Technologies Corporation,-0.73766603,0.23712575,-2.08976157,-0.16208228,1.08601216,-11.45732042,-16.2614954,-18.25526932,-26.10873937,33.22519084,Electronic Technology
ZBH,"Zimmer Biomet Holdings, Inc.",-0.2865877,0.1439125,0.39423077,0.96702447,1.18228511,-6.95954375,-20.76946426,-24.59193991,-7.92768959,-6.84998416,Health Technology
ZAPP,Zapp Electric Vehicles Group Limited,-3.14394923,-3.36363636,-0.37488285,-3.36363636,-8.36206897,-71.65333333,-85.82666667,-95.05581395,-97.88035892,-97.83723296,Finance
Z,"Zillow Group, Inc.",-0.24766098,-6.90806369,-7.47830526,-6.979728,-6.0880829,-21.46880416,-32.87037037,-15.71727505,17.9245283,-2.02702703,Technology Services
YY,JOYY Inc.,0.10290713,0.90767635,0.18018018,-0.58748404,0.20597322,2.1254264,16.38755981,28.83151274,62.57309942,-32.79226386,Technology Services
YUMC,"Yum China Holdings, Inc.",-0.00951565,0.15249714,-0.66150066,-1.05421687,0.09521996,-5.67121321,-7.00636943,-17.39096267,28.76041156,45.71666205,Consumer Services
YUM,"Yum! Brands, Inc.",-0.25602907,-0.14469387,0.20727966,0.82589472,1.18888145,-3.26556747,-9.72512698,-11.67141709,2.78959007,40.81323547,Consumer Services
YTRA,"Yatra Online, Inc.",-2.58064516,-2.26537217,-5.03144654,-5.03144654,-1.94805195,-24.87562189,-19.68085106,-24.5,-35.74468085,-64.04761905,Consumer Services
YTEN,"Yield10 Bioscience, Inc.",0.61919505,4.83870968,-1.51515152,4.83870968,0.30864198,-0.52035507,-85.22727273,-89.48220065,-89.16666667,-99.38493565,Process Industries
YSG,Yatsen Holding Limited,0.11990408,-0.5952381,-11.53763441,-12.24533333,-10.78941661,-17.73,-28.46086957,-13.74501992,-23.11214953,-95.30154198,Retail Trade
YS,"YS Biopharma Co., Ltd.",-1.1238177,2.44470314,-12,-1.41160654,2.80373832,-45,-67.40740741,-70.66666667,-95.56451613,-95.36842105,Health Technology
YRD,Yiren Digital Ltd.,-1.33928571,-1.77777778,-3.07017544,-2.21238938,0.45454545,-9.05349794,-18.4501845,-9.05349794,158.17757009,-86.03034134,Technology Services
YQ,17 Education & Technology Group Inc.,-0.47598442,-0.47598442,1.45566828,1.45566828,-1.42857143,-11.51577328,-27.37606568,-46.92307692,9.52380952,-98.35714286,Technology Services
YOU,"Clear Secure, Inc.",0.17878427,2.56253813,1.02102102,1.87764991,1.81598063,-11.65966387,-38.1390217,-29.97502082,-38.07069219,-56.36835279,Technology Services
YOSH,Yoshiharu Global Co.,0.75876504,-2.50632911,-4.2039801,-10.32653622,-12.75487087,-4.77250247,-36.08298755,-62.24509804,-69.67716535,-92.59423077,Consumer Services
YORW,The York Water Company,0.36191537,0.13749809,1.2633352,1.54842342,0.72605417,-3.78767671,-11.33235005,-13.99618503,-17.89210107,12.71875,Utilities
YMM,Full Truck Alliance Co. Ltd.,0.53557766,-0.15197568,-6.14285714,-8.24022346,-9.25414365,-6.67613636,-6.2767475,5.45746388,37.16075157,-70.8,Technology Services
