Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
ZIM,ZIM Integrated Shipping Services Ltd.,-0.8974359,-1.27713921,-2.02531646,-2.02531646,-4.91400491,-25.93301435,-47.84366577,-53.42960289,-66.39166305,-32.69565217,Transportation
YGMZ,MingZhu Logistics Holdings Limited,-0.35068291,1.67608286,-5.28070175,-1.85420833,-9.2605042,13.4482034,-30.78205128,-59.70895522,-70.81621622,-87.72954545,Transportation
XPO,"XPO, Inc.",0.77096903,-0.73327223,-3.02526383,-2.15539494,12.59468291,1.5403161,11.25623716,62.64750054,153.47541509,161.21743866,Transportation
WERN,"Werner Enterprises, Inc.",-0.46613655,-0.58879912,-0.57486997,-0.27457441,-0.110011,-6.75224647,-21.11207646,-20.1933641,-6.10134436,14.28571429,Transportation
VTOL,"Bristow Group, Inc.",-0.22918258,-0.11472275,-0.26707364,0.19164431,0,-7.20624778,-15.23994812,19.14311759,-10.63247863,-22.75413712,Transportation
VRRM,Verra Mobility Corporation,0.07589173,0.02528445,0.61068702,0.50838841,1.33264992,5.72192513,-5.31609195,21.8865598,14.94186047,98.4939759,Transportation
VNT,Vontier Corporation,-0.20256583,0.37351443,1.09439124,0.88737201,1.44131778,-4.39844761,-3.52480418,8.59662013,53.24002074,-17.88888889,Transportation
PEGY,Pineapple Energy Inc.,-3.8961039,0,-1.33333333,-3.8961039,2.76350507,-12.94117647,-38.84297521,-44.36090226,-80.82901554,-93.48591549,Industrial Services
PEGR,Project Energy Reimagined Acquisition Corp.,0.09168704,0,0.09168704,0,0.0477327,0.09551098,0.76923077,2.24390244,6.18034448,5.32663317,Finance
PEGA,Pegasystems Inc.,0.81319976,1.07431337,1.76190476,2.05348615,3.41156545,-1.54342317,-18.65245527,0.07024116,16.48950668,-16.5234375,Technology Services
PEG,Public Service Enterprise Group Incorporated,-0.06484033,-0.12959663,0.35813121,2.47672872,2.56196972,8.32894043,-2.1894336,-3.33960489,7.2173913,11.301679,Utilities
PECO,"Phillips Edison & Company, Inc.",0.12760527,0.34100597,2.73494326,3.24561404,5.24590164,5.27728086,0.17021277,16.76587302,19.20999325,26.10714286,Finance
PEBO,Peoples Bancorp Inc.,0.52871468,1.17431193,-0.79136691,-1.07604017,1.54639175,8.66824271,-0.61261261,11.12006446,-8.73593647,-19.68549796,Finance
PEBK,"Peoples Bancorp of North Carolina, Inc.",0.35118525,0.26315789,1.82628062,2.649304,6.3255814,3.93271198,7.57647059,-4.4530081,-17.53246753,-17.53246753,Finance
PEB,Pebblebrook Hotel Trust,-0.16729402,0.08385744,0.93062606,1.01608806,2.22793488,-12.21486387,-19.98658618,-14.17266187,-25.85456805,-64.20642064,Finance
PEAK,"Healthpeak Properties, Inc.",0.32258065,0.06435006,-3.77475248,-2.69086358,-5.29841657,-15.30501089,-28.10910772,-26.6509434,-34.30502746,-55.25179856,Finance
PDT,John Hancock Premium Dividend Fund,-0.15633142,-0.21664861,0.73684211,1.48462354,2.68240343,-0.51975052,-13,-21.62162162,-30.75253256,-38.45659164,Miscellaneous
PDSB,PDS Biotechnology Corporation,-0.86977243,-0.71599045,0,-0.71428571,3.73134328,-17.42574257,-25.93250444,-34.43396226,-22.92051756,-71.16182573,Health Technology
PDP,Invesco Dorsey Wright Momentum ETF,-0.04442168,0,0.43686007,0.45057346,0.84989719,-4.44213534,-9.11673873,-0.83569214,-1.02246738,44.00078293,Miscellaneous
PDO,PIMCO Dynamic Income Opportunities Fund,0.09332284,0.04572474,0.82949309,0.64397424,1.86219739,-7.91245791,-15.78137028,-14.53125,-17.7443609,-45.3,Miscellaneous
PDM,"Piedmont Office Realty Trust, Inc.",1.26336249,0.57915058,-0.76190476,2.15686275,2.76134122,-7.29537367,-26.8258427,-14.86928105,-50.52231719,-71.38934651,Finance
PDLB,"Ponce Financial Group, Inc.",-0.89858793,-0.89858793,-2.75,1.83246073,2.09973753,-0.51150895,-18.27731092,12.91727141,-14.50549451,-42.70860181,Finance
PDI,PIMCO Dynamic Income Fund,0.03060912,0.36855037,1.49068323,1.5537601,3.74603175,-5.43981481,-14,-9.92282249,-17.84816491,-46.65360757,Miscellaneous
PDFS,"PDF Solutions, Inc.",0.32093638,0.70115596,-0.15054573,0.49242424,-2.78490289,-18.11728395,-41.46072374,-27.01513067,11.79941003,236.24841572,Technology Services
PDEX,"Pro-Dex, Inc.",-2.85714286,-2.85714286,-5.66037736,-4.03612758,-0.54000924,8.28025478,-5.55503086,8.17001782,-12.37113402,80.85106383,Health Technology
PDD,PDD Holdings Inc.,0.89032579,1.11665005,-1.64856478,-2.72395933,-6.33542667,3.4159274,15.81591869,58.67949621,93.99387911,467.86114222,Retail Trade
PDCO,"Patterson Companies, Inc.",0.19736842,0.59445178,0.13149244,0.56124133,0.72751323,2.76653171,-7.41641337,14.81341877,13.44506518,33.47940403,Distribution Services
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,0.03404835,0.06811989,-0.60934326,-0.47457627,-2.06804536,-1.80602007,-0.06807352,8.66025167,-13.49440189,-18.21727019,Miscellaneous
PDBA,Invesco Agriculture Commodity Strategy No K-1 ETF,0,-0.09262118,0.15475085,0.45010088,-0.09262118,2.92620865,0.74719801,7.01058201,11.27922971,5.06493506,Miscellaneous
PD,"PagerDuty, Inc.",0.54835494,0.54835494,1.15346038,1.05210421,2.69857434,-10.31569586,-18.17444219,-28.52586818,-19.67343688,-48.4406953,Technology Services
PCYO,Pure Cycle Corporation,-0.10460251,1.00475939,-0.10449321,-0.10449321,2.68528464,-0.41666667,-22.84100081,-0.20876827,12.20657277,2.5751073,Utilities
PCYG,"Park City Group, Inc.",1.93386629,0.9155646,-2.45270358,-1.31712259,-0.1025641,11.18721461,0.61983471,48.77724655,97.96747967,16.92677071,Technology Services
PCVX,"Vaxcyte, Inc.",-0.40385213,0.12492192,1.54105974,1.02919555,2.34042553,-5.64927423,-1.57560876,-2.98507463,11.44578313,131.25,Health Technology
PCTY,Paylocity Holding Corporation,-0.05849419,0.04461298,2.28050171,1.73528411,2.86697248,-1.26582278,-18.68739519,-4.99390987,-21.3261413,188.23907455,Technology Services
PCTI,"PCTEL, Inc.",0.07293946,0,0,0,0.14619883,64.66346154,40.94650206,46.99570815,44.36248683,52.56124722,Electronic Technology
PCT,"PureCycle Technologies, Inc.",-1.02335929,-2.75409836,-5.52016985,-5.52016985,-7.29166667,-20.67736185,-59.65548504,-29.02711324,-45.92952612,-56.37254902,Industrial Services
PCSA,"Processa Pharmaceuticals, Inc.",-3.83535297,-4.22919509,5.1212938,3.84615385,7.17557252,40.28776978,-16.42857143,-47.01086957,-83.15900585,-98.35462323,Health Technology
PCRX,"Pacira BioSciences, Inc.",-0.52816901,-0.42298202,1.54509522,1.72786177,2.50272035,-7.88787484,-18.67625899,-34.17190776,-45.6224745,-39.94900127,Health Technology
PCQ,PIMCO California Municipal Income Fund,0.12019231,0.12019231,-0.23952096,-0.23952096,1.21506683,-0.11990408,-18.88997079,-16.02822581,-41.33802817,-45.12516469,Miscellaneous
PCOR,"Procore Technologies, Inc.",0.13112604,-0.82792208,0.2790545,0.49350222,0.18038701,-6.47581139,-17.50168805,3.8239293,13.40263598,-27.27380952,Technology Services
PCN,Pimco Corporate & Income Strategy Fund,0.17667845,0.57649667,0.80213904,0.53333333,0.80213904,-7.06655711,-16.22222222,-12.59659969,-7.8990228,-33.11649911,Miscellaneous
PCM,"PCM Fund, Inc.",-0.33681188,0.55710306,0.41841004,0.84033613,3.74639769,-19.1011236,-24.68619247,-24.92179353,-11.9804401,-30.43478261,Miscellaneous
PCK,Pimco California Municipal Income Fund II,0.30150754,0.20080321,-0.3992016,0.20080321,0.80808081,-0.59760956,-17.38410596,-18.33060556,-21.90923318,-37.70287141,Miscellaneous
PCH,PotlatchDeltic Corporation - Common Stock,0.30437837,0.42782629,0.79981181,0.49249531,0.72872591,-5.59594624,-17.54858572,-4.6506453,-3.88066397,15.68574514,Finance
PCG,Pacific Gas & Electric Co.,-0.3362886,-0.42761148,0.61728395,0.61728395,3.09930424,1.05393676,-5.61667632,-6.16004606,7.09592641,-65.38543215,Utilities
PCF,High Income Securities Fund,-0.08598452,-0.17182131,-0.85324232,0.51903114,1.57342657,-6.13893376,-10.61538462,-6.89102564,-10.61538462,-37.99359658,Miscellaneous
PCB,PCB Bancorp,1.65234633,0.7467575,1.62413606,0.4572175,1.05124836,-0.45307443,-6.19091186,15.20599251,-19.81230448,-6.2195122,Finance
PCAR,PACCAR Inc.,-0.24783897,-0.2659253,-0.81720947,-1.30351591,-0.91247449,-2.92872265,-4.37956204,15.48310362,29.56037448,120.86519048,Producer Manufacturing
PBYI,Puma Biotechnology Inc,-2.43902439,-3.17460317,-3.1496063,-1.99203187,2.5,-6.46387833,-30.11363636,-5.01930502,7.42358079,-93.74841169,Health Technology
PBTS,"Powerbridge Technologies Co., Ltd.",-3.31184708,-7.46649649,-1.13636364,-1.40525839,-3.54767184,-70,-82.82533165,-97.3293668,-99.01965928,-99.96609196,Technology Services
PBT,Permian Basin Royalty Trust,0.33563153,0.25201893,1.22386537,-0.25125628,-1.09616343,-6.58823529,-16.98034295,-13.31877729,-3.59397766,166.44295302,Miscellaneous
PBPB,Potbelly Corporation,-0.11376564,-1.23734533,-0.6772009,0.11376564,6.02409639,12.82051282,-6.28328009,-17.98695247,76.70682731,-23.61111111,Consumer Services
PBLA,"Panbela Therapeutics, Inc.",3.41340076,5.5483871,-10.10989011,4.21709772,9.9905876,-37.55725191,-57.83505155,-94.13701523,-99.51358166,-99.9808173,Health Technology
PBI,Pitney Bowes Inc.,0.62402496,1.09717868,2.86624204,2.86624204,5.55555556,6.95364238,-15.22309711,-1.82370821,6.95364238,-50.30769231,Transportation
PBHC,"Pathfinder Bancorp, Inc.",0.8579168,0.8579168,-0.46224961,-2.49056604,-2.49056604,-6.37681159,-11.68831169,-0.61538462,-29.74442632,-13.92405063,Finance
PBH,Prestige Consumer Healthcare Inc.,-0.33573947,0.0336984,0.62722495,0.74677529,0.86661003,3.79436965,-8.55030042,-5.14541387,6.68583753,66.60117878,Health Technology
PBFS,"Pioneer Bancorp, Inc.",1.0178117,-0.99750623,4.32569975,3.14465409,-0.36452005,-3.98126464,-15.11387164,-3.52941176,-18.4079602,-44.40677966,Finance
PBF,PBF Energy Inc.,0.59259259,1.82090831,3.07959228,3.19148936,3.10195228,-11.20866804,-0.87591241,48.29953198,9.13892078,21.52902071,Energy Minerals
PBBK,"PB Bankshares, Inc.",0.2427598,0.2427598,0.2427598,0.2427598,-1.92916667,-4.60267665,-9.81992337,1.01716738,-7.11303346,-5.852,Finance
PBAX,Phoenix Biotech Acquisition Corp.,0,0,0,0,0,0.09208103,1.02230483,0.46210721,6.88298918,8.7,Finance
PB,"Prosperity Bancshares, Inc.",-0.01833181,0.60874377,1.11234705,0.90656799,1.31896712,-0.07328692,-12.94493216,-6.30475863,-23.68826081,-15.63805104,Finance
PAYX,"Paychex, Inc.",-0.08996851,0.27088036,0.33429707,0.43411414,1.35073469,-3.71108992,-10.82470088,3.37925898,-6.48421053,73.48851742,Technology Services
PAYS,"Paysign, Inc.",-1.61290323,0,3.37078652,2.79329609,6.3583815,-5.64102564,-1.60427807,-45.23809524,-22.3628692,-51.70603675,Commercial Services
PAYO,Payoneer Global Inc.,0,-0.51635112,0.34662045,0.52083333,3.02491103,-5.39215686,9.45179584,8.02238806,-24.70741222,-40.30927835,Commercial Services
PAYC,"Paycom Software, Inc.",-0.66139176,-0.25667142,1.38647463,2.045322,1.92643755,-5.51548579,-26.32481203,-17.52684914,-27.86088698,100.41724618,Technology Services
PAY,"Paymentus Holdings, Inc.",1.88547486,1.24913255,-0.54644809,-1.08695652,1.88943317,-12.28915663,33.57798165,83.83838384,36.71361502,-49.37413074,Commercial Services
PAXS,PIMCO Access Income Fund,-0.15360983,-0.07686395,0.54012346,0.61776062,0,-6.12391931,-11.66101695,-8.88111888,-16.42078255,-34.85,Miscellaneous
PAX,Patria Investments Limited,0,0.31152648,-0.84615385,-0.69337442,-1.37719969,-11.59122085,-15.36441234,-9.79706088,-7.19942405,-40.04651163,Finance
PAVS,Paranovus Entertainment Technology Ltd.,-3.75542555,-3.75542555,-5.21767412,0.99009901,-2.62529833,-36.44859813,34.65346535,-42.85714286,-17.74193548,-97.91836735,Health Technology
PAVM,PAVmed Inc.,-6.57992565,-5.16981132,-1.3590034,0.076599,1.67315175,-11.30346232,-29.37837838,-49.79827089,-77.8559322,-77.27826087,Health Technology
PATK,"Patrick Industries, Inc.",0.06654245,0.77737569,2.57985258,2.17539089,4.75327572,0.11990408,-11.32743363,13.86363636,59.68975776,85.6472332,Consumer Durables
PATI,"Patriot Transportation Holding, Inc.",0,-0.25974026,-0.13003901,-0.25974026,-0.06506181,-6.05504587,-7.69230769,-15.78947368,-8.2437276,-61.09422492,Transportation
PATH,"UiPath, Inc.",0.22587932,0.45278137,2.17105263,2.98408488,3.94912985,-9.23436587,-9.4988345,24.04153355,22.18725413,-76.29007634,Technology Services
PASG,"Passage Bio, Inc.",1.421875,-3.16276294,-4.73355165,-5.7437408,0.77153204,-2.73556231,-28.48362946,-34.02061856,-51.51515152,-97.12617872,Health Technology
PARR,"Par Pacific Holdings, Inc. Common Stock",0.92194222,1.03061068,1.14021572,1.32757024,2.37055521,-8.68113523,3.69668246,51.45362252,44.39067312,89.82070561,Energy Minerals
PARA,Paramount Global,-0.04597701,-0.77590141,-1.62748644,-1.09090909,1.68224299,-15.65891473,-31.35646688,-42.4643046,-40.9978308,-79.98160074,Consumer Services
PAR,PAR Technology Corporation,-0.47732697,-0.05136107,1.14345114,1.49513213,2.24168126,-24.26050856,-13.66459627,4.13842312,1.24869927,65.10180995,Electronic Technology
PANW,"Palo Alto Networks, Inc.",-0.03427655,0.14295537,0.21030061,1.873821,1.77143096,3.65978502,-2.42120056,36.04657672,42.71787644,308.52893156,Technology Services
PANL,Pangaea Logistics Solutions Ltd.,0.17301038,-0.68610635,-1.02564103,-1.36286201,-1.69779287,-1.53061224,-17.63869132,-5.54649266,18.16326531,66.83475004,Miscellaneous
PALT,"Paltalk, Inc.",-0.62033169,-0.63291139,-0.63694268,-0.31948882,-0.63694268,-13.8121547,-9.30232558,-17.89473684,4,-67.15789474,Technology Services
PALI,"Palisade Bio, Inc.",0.43431053,0.68940493,3.71893104,1.61113145,2.56884125,-4.63917526,-74.06542056,-65.74074074,-88.31578947,-99.98531465,Health Technology
PAI,Western Asset Investment Grade Income Fund Inc.,0.09363296,0.00748419,0.46948357,0.65851364,0.46948357,-4.88888889,-9.24512299,-10.83333333,-4.97335702,-17.05426357,Miscellaneous
PAHC,Phibro Animal Health Corporation,-0.09140768,-0.81669691,0.55248619,-0.18281536,1.39275766,-14.48707909,-25.61307902,-27.15143429,-27.00534759,-74.61645746,Health Technology
PAGS,PagSeguro Digital Ltd.,0,0.21291696,0.71326676,0.14184397,0.14184397,-18.00232288,-37.52212389,-28.17904374,-46.4339909,-73.15589354,Commercial Services
PAGP,"Plains GP Holdings, L.P.",0.12763242,0.12763242,1.48867314,1.75210902,0.25575448,-2.72952854,1.48867314,21.6446858,26.4516129,-25.15513126,Industrial Services
PAG,"Penske Automotive Group, Inc.",-0.31717263,-0.62543433,-0.38986355,0.09794319,-1.16054159,-14.35412427,-16.81395349,5.59409594,29.73070995,216.61872096,Retail Trade
PACW,PacWest Bancorp,-1.39470014,1.28939828,3.50877193,3.20699708,4.73372781,-10.49304678,-20.35995501,97.21448468,-71.97149644,-81.92494256,Finance
PACK,Ranpak Holdings Corp,-0.68622513,-1.25195618,-16.18037135,-10.4815864,-7.3313783,-41.91176471,-45.32871972,-12.22222222,-14.59459459,-67.48971193,Process Industries
PACI,PROOF Acquisition Corp I,0,0,0,0,-0.55401662,0.27932961,1.12676056,3.06220096,6.95134062,9.89795918,Finance
PACB,"Pacific Biosciences of California, Inc.",-2.91751767,-2.84119497,-8.17236256,-13.08016878,-13.08016878,-25.98802395,-52.46153846,-47.62711864,-28.38933951,51.47058824,Health Technology
PABU,iShares Paris-Aligned Climate MSCI USA ETF,-0.15466195,0.42222222,0,0.79628401,1.98760572,-2.77943711,-8.34618873,2.39851155,8.85559494,-7.09006575,Miscellaneous
PAA,"Plains All American Pipeline, L.P.",0,0.19847833,2.29574612,1.60965795,0,-1.10966057,3.34242838,22.87104623,27.52525253,-29.03981265,Industrial Services
OZK,Bank OZK,-0.6936737,-0.25083612,-0.61060228,-0.1672707,1.8486917,-3.39897491,-16.03751465,11.6619894,-16.46839282,35.23413897,Finance
OXY,Occidental Petroleum Corporation,0.19452099,0.37349789,0.2595296,0.22701476,-0.67491564,-4.73181258,-0.24209167,4.69173442,-13.18820225,-6.94068052,Energy Minerals
