 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
QBIO,Q BioMed Inc.,284352,-8988,-2052093,Pharmaceuticals: Major
PUGE,PUGET TECHNOLOGIES INC,,,,Textiles
HCMC,Healthier Choices Management Corp.,29267003,9162603,-7217611,Food Retail
ZAAG,ZA Group Inc.,153915,-493141,-4551815,Investment Managers
PLYN,Palayan Res Inc.,,,,Precious Metals
CPWY,"Clean Energy Pathways, Inc.",,,,Building Products
GNCAQ,GENOCEA BIOSCIENCES INC,,,,Biotechnology
CRYO,American Cryostem Corp.,,,,Movies/Entertainment
CBDL,CBD Life Sciences Inc.,160241,-280260,-859804,Pharmaceuticals: Other
MMMM,Quad M Solutions Inc.,54892679,2193340,-4212053,Other Metals/Minerals
HVCW,"Harrison, Vickers & Waterman, Inc.",0,0,-4871458,Restaurants
RENO,"Renovare Environmental, Inc.",,,,Industrial Machinery
PZOO,PAZOO INC,,,,Catalog/Specialty Distribution
RNVA,"Rennova Health, Inc.",13036172,5798880,-3293055,Information Technology Services
FRLI,FRELII INC,,,,Packaged Software
NNRX,"Nutranomics, Inc.",2846786,-3075922,-6629775,Pharmaceuticals: Other
WWIO,WOWIO INC,,,,Internet Software/Services
VHLD,VECTOR 21 HLDGS INC.,,,,Chemicals: Specialty
EKSN,ERICKSON INC NEW,,,,Finance/Rental/Leasing
XLPI,"Xcelplus International, Inc.",,,,Gas Distributors
PSPW,3POWER ENERGY GROUP INC,,,,Alternative Power Generation
EPGRQ,ENVIRONMENTAL POWER CORP,,,,Electric Utilities
CBRI,CMTSU LIQUIDATION INC,,,,Information Technology Services
VENG,Vision Energy Corporation,0,-6224,-15861843,Engineering & Construction
SPZI,"Spooz, Inc.",,,,Packaged Software
ASCC,Aristocrat Group Corp,,,,Other Consumer Services
DGWR,"Deep Green Waste & Recycling, Inc.",1053612,365752,-1194221,Trucking
TPIA,Mycotopia Therapies Inc.,0,-1001,-2611869,Pharmaceuticals: Other
EYPT,"EyePoint Pharmaceuticals, Inc.",41404000,31028000,-102254000,Pharmaceuticals: Major
CYXTQ,"Cyxtera Technologies, Inc.",746000000,101000000,-355100000,Data Processing Services
OCLG,"Oncologix Tech, Inc.",0,0,0,Medical Distributors
HA,"Hawaiian Holdings, Inc.",2641267000,85842000,-240081000,Airlines
INTS,"Intensity Therapeutics, Inc.",0,-179037,-7581897,Biotechnology
AVNI,"Arvana, Inc.",0,0,-151396.00000024,Financial Conglomerates
VIEW,"View, Inc.",101328000,-101829000,-337089000,Industrial Specialties
LPTV,"Loop Media, Inc.",30832796,11382398,-29479448,Internet Software/Services
HENI,"Hinto Energy, Inc.",0,0,0,Integrated Oil
BLIAQ,BB LIQUIDATING INC,,,,Electronics/Appliance Stores
TPTW,"TPT Global Tech, Inc.",7836579,-2053810,-21630143,Wireless Telecommunications
SSNT,"SilverSun Technologies, Inc.",44985276,17011771,-282219,Miscellaneous Commercial Services
KWIK,"KwikClick,Inc.",606835,459695,-3946791,Packaged Software
JETR,"Star Jets International, Inc.",17028463,2313181,-820180,Electronic Components
GRHI,"Gold Rock Holdings, Inc.",0,0,-434182,Homebuilding
DTGI,"Digerati Technologies, Inc.",31623000,16428000,-8291000,Data Processing Services
SERA,"Sera Prognostics, Inc.",268000,-1143000,-44186000,Medical/Nursing Services
GLUC,"Glucose Health, Inc.",1072655.00000172,456715.00000073,-562116.0000009,Pharmaceuticals: Other
SKYE,Skye Bioscience Inc.,0,-114998,-19481602,Pharmaceuticals: Major
RIBT,RiceBran Technologies,41617000,-759000,-7858000,Agricultural Commodities/Milling
RONN,RONN,,,,Household/Personal Care
ALT,"Altimmune, Inc.",-68000,-568000,-84713000,Biotechnology
WBSR,Webstar Technology Group Inc.,0,-1600,-31020540,Packaged Software
