time,open,high,low,close
1391524200,10.6,11.6,10.35,10.5
1391610600,10.75,12.29,10.65,12.29
1391697000,12.04,14.13,11.95,13.89
1391783400,14,14.24,13.5,14
1392042600,13.99,14.21,13.85,14.17
1392129000,14.24,14.25,13.64,13.8
1392215400,13.75,13.8499,13.5,13.65
1392301800,13.4,13.69,12.55,12.67
1392388200,12.5,13.46,12.5,12.8
1392733800,12.55,13.05,12.08,12.32
1392820200,12.35,12.47,12.011,12.13
1392906600,12.06,12.3,11.76,12.2
1392993000,12.11,12.31,12,12.05
1393252200,12,12.11,11.83,11.93
1393338600,11.8,12.65,11.8,12.59
1393425000,12.59,13.91,12.25,13.1
1393511400,13.14,13.42,13.11,13.3
1393597800,13.29,14.7,13.1722,14.4
1393857000,14.35,14.74,14.03,14.71
1393943400,14.78,15.25,14.61,14.95
1394029800,14.94,15.65,14.5,14.74
1394116200,14.69,14.85,14.5,14.55
1394202600,14.76,14.794,14.5,14.57
1394458200,14.58,15.15,14.58,14.98
1394544600,14.93,15.1,13.83,14.03
1394631000,13.89,14.26,13.5,14.05
1394717400,14.18,14.45,13.67,14.18
1394803800,13.97,14.25,13.61,13.69
1395063000,13.66,14.27,13.55,14.2
1395149400,14.24,15,14.1,14.8
1395235800,15.23,15.25,14.66,14.84
1395322200,14.85,15.16,14.708,14.95
1395408600,15,15.18,14.88,15.08
1395667800,15.08,15.1386,14.24,15.01
1395754200,15.1,15.1,14.682,14.94
1395840600,14.9,14.97,14.79,14.86
1395927000,14.89,15.04,14.72,14.9
1396013400,14.96,15.03,14.81,14.99
1396272600,15.01,15.14,14.79,15.02
1396359000,15,15.7,14.85,15.7
1396445400,15.68,15.79,15.43,15.65
1396531800,15.72,15.72,15.262,15.56
1396618200,15.54,15.55,15.1,15.29
1396877400,15.2,15.25,15,15.1
1396963800,15.08,15.22,14.8875,15.21
1397050200,15.1,15.7198,15,15.28
1397136600,15.31,15.65,15.12,15.28
1397223000,15.13,15.3,14.85,14.93
1397482200,14.95,15.14,14.55,14.76
1397568600,14.83,14.93,14.51,14.93
1397655000,14.98,15.035,14.78,15
1397741400,14.93,15,14.69,14.82
1398087000,14.7,14.9699,14.7,14.9
1398173400,14.87,14.99,14.76,14.9
1398259800,14.82,14.85,14.69,14.69
1398346200,14.76,14.81,14.65,14.73
1398432600,14.72,14.77,14.36,14.42
1398691800,14.42,14.79,14.26,14.33
1398778200,14.32,14.32,13.79,13.98
1398864600,13.95,14.37,13.86,14.27
1398951000,14.05,14.06,13.1,13.92
1399037400,13.92,14.16,13.82,13.97
1399296600,13.86,14.225,13.84,14.04
1399383000,13.99,14.1,13.92,13.96
1399469400,13.98,14.08,13.5701,13.65
1399555800,13.63,13.8,13.45,13.62
1399642200,13.45,13.59,13.35,13.5
1399901400,13.48,13.98,13.4301,13.77
1399987800,13.7,14.1601,13.6807,13.95
1400074200,13.88,13.99,13.82,13.9
1400160600,13.9,13.9691,13.62,13.72
1400247000,13.67,13.75,13.59,13.64
1400506200,13.64,13.6775,13.25,13.51
1400592600,13.44,13.64,13.321,13.5
1400679000,13.47,13.7,13.47,13.59
1400765400,13.57,13.7,13.49,13.6
1400851800,13.54,13.65,13.53,13.6
1401197400,13.57,13.87,13.5301,13.76
1401283800,13.7,14,13.64,13.97
1401370200,13.93,14,13.83,13.97
1401456600,13.93,14.04,13.9,13.97
1401715800,13.91,14.01,13.91,13.97
1401802200,13.9,14.11,13.9,14.05
1401888600,13.99,14.13,13.9001,14.02
1401975000,14.05,14.56,14,14.47
1402061400,14.47,14.66,14.38,14.6
1402320600,14.52,14.75,14.48,14.63
