Ticker,Description,"Change 1h, %","Change 4h, %",Change from Open %,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,Yearly Performance,5Y Performance,Sector
ZIM,ZIM Integrated Shipping Services Ltd.,-0.8974359,-1.27713921,-2.02531646,-2.02531646,-4.91400491,-25.93301435,-47.84366577,-53.42960289,-66.39166305,-32.69565217,Transportation
YGMZ,MingZhu Logistics Holdings Limited,-0.35068291,1.67608286,-5.28070175,-1.85420833,-9.2605042,13.4482034,-30.78205128,-59.70895522,-70.81621622,-87.72954545,Transportation
XPO,"XPO, Inc.",0.77096903,-0.73327223,-3.02526383,-2.15539494,12.59468291,1.5403161,11.25623716,62.64750054,153.47541509,161.21743866,Transportation
WERN,"Werner Enterprises, Inc.",-0.46613655,-0.58879912,-0.57486997,-0.27457441,-0.110011,-6.75224647,-21.11207646,-20.1933641,-6.10134436,14.28571429,Transportation
VTOL,"Bristow Group, Inc.",-0.22918258,-0.11472275,-0.26707364,0.19164431,0,-7.20624778,-15.23994812,19.14311759,-10.63247863,-22.75413712,Transportation
VRRM,Verra Mobility Corporation,0.07589173,0.02528445,0.61068702,0.50838841,1.33264992,5.72192513,-5.31609195,21.8865598,14.94186047,98.4939759,Transportation
VNT,Vontier Corporation,-0.20256583,0.37351443,1.09439124,0.88737201,1.44131778,-4.39844761,-3.52480418,8.59662013,53.24002074,-17.88888889,Transportation
USEA,United Maritime Corporation,0,-0.89243776,1.93236715,0.47619048,-0.23640662,-12.08333333,-18.53281853,-21.85185185,-19.15708812,163.75,Transportation
UPS,"United Parcel Service, Inc.",0.06376196,0.51953598,1.89727312,1.77979536,4.76155158,-9.37961121,-23.21282957,-19.07762819,-14.97622344,33.94973921,Transportation
UP,Wheels Up Experience Inc.,-0.73717247,-2.93340946,2.17391304,4.44444444,0.71428571,-31.88405797,-37.05357143,-70.71042792,-91.70588235,-98.5388601,Transportation
UNP,Union Pacific Corporation,0.19064167,0.17372002,0.59111391,0.87949466,2.91988895,1.95452536,-10.18386329,6.24328335,4.55255074,46.20422535,Transportation
ULH,"Universal Logistics Holdings, Inc.",-0.11210762,-0.75740699,0.81081081,0.81081081,5.66572238,-11.11993646,-27.64306499,-12.85046729,-32.46831623,-14.22000767,Transportation
ULCC,"Frontier Group Holdings, Inc.",-0.35169988,-1.87590188,-7.12328767,-7.250342,-10.78947368,-29.95867769,-61.65158371,-61.65158371,-73.0952381,-81.7839871,Transportation
UBER,"Uber Technologies, Inc.",-0.19601061,0.4759141,1.07426436,1.28715188,4.97210769,-5.89258534,-6.02540441,15.47491996,56.75479899,11.57514823,Transportation
UAL,"United Airlines Holdings, Inc.",0.44482709,0.74841681,1.24349335,0.60344828,3.27433628,-17.23404255,-33.31428571,-21.05975197,-19.79363068,-58.50912539,Transportation
TORO,Toro Corp.,-0.72115385,-0.23913621,3.5,0.97560976,8.94736842,-29.10958904,-17.36526946,38,-77.72996235,-77.72996235,Transportation
TOPS,TOP Ships Inc.,-0.54390054,0,-2.29007634,-1.99081164,-0.7751938,-10.36414566,-25.64573772,-25.43775031,-88.48552732,-99.99757673,Transportation
TNP,Tsakos Energy Navigation Ltd,-0.5866426,0.09086779,0.13636364,-0.67628494,-2.52212389,6.01539942,7.25413827,37.08774113,29.58823529,38.55345912,Transportation
TNK,Teekay Tankers Ltd.,0.24203308,0.91370558,3.30492621,3.26199875,1.65678053,19.38505885,16.94117647,34.87109905,61.46848603,459.68468468,Transportation
TK,Teekay Corporation,0.07117438,0.2853067,0.42857143,0.42857143,0,13.93841167,5.87349398,38.38582677,82.12435233,11.41045959,Transportation
TDW,Tidewater Inc.,-0.30652459,0.30841533,0.84095603,0.61828353,-0.33537474,-3.82721261,10.24193548,72.0795569,110.37242228,166.47173489,Transportation
SWVL,Swvl Holdings Corp,-2.56410256,-2.56410256,-3.06122449,-3.06122449,-5,-16.29955947,-15.92920354,-21.48760331,-93.19971367,-99.6122449,Transportation
STNG,Scorpio Tankers Inc.,-0.4787234,-0.26652452,-0.28414136,-0.24871203,-2.72002772,3.75092387,20.75268817,18.16077441,19.90177237,244.47852761,Transportation
SRFM,Surf Air Mobility Inc.,-1.96859807,1.64449219,-0.81300813,0,-0.81300813,-25.15337423,-31.07344633,-75.6,-75.6,-75.6,Transportation
SNDR,"Schneider National, Inc.",0.03949447,-0.58986747,-0.47151277,-0.54966627,1.23900879,-8.52293247,-18.05241022,-4.27059713,17.160037,11.19402985,Transportation
SNCY,"Sun Country Airlines Holdings, Inc.",-0.07674597,0.30816641,-2.61780105,-3.125,1.00853375,-12.26415094,-37.34359962,-26.89500281,-20.4642639,-60.54545455,Transportation
SMHI,SEACOR Marine Holdings Inc.,0.21691974,1.27877238,-3.00909727,-2.73684211,-1,-0.14409222,19.58584987,73.25,80,-24.8373102,Transportation
SKYW,"SkyWest, Inc.",-0.05929088,-0.15401019,-1.83891993,-2.27114716,-0.2365744,0.54840248,-3.41273477,50.5533738,137.31007316,-16.51158186,Transportation
SHIP,Seanergy Maritime Holdings Corp.,-0.19762846,-0.19762846,-1.5625,-2.7027027,-9.18918919,-8.69565217,-4,9.32754881,8.03858521,-99.76417562,Transportation
SGLY,Singularity Future Technology Ltd.,1.88461538,1.88461538,-0.03773585,-1.68862498,1.88461538,0.72243346,15.17391304,-9.28082192,-77.7394958,-91.5232,Transportation
SFWL,Shengfeng Development Limited,0.26041667,-3.10402685,-5.954323,-6.48824006,-10.41181041,-3.1092437,104.43262411,175.83732057,181.2195122,181.2195122,Transportation
SFL,SFL Corporation Ltd,0.18450185,-0.09199632,0.74211503,0.74211503,0.46253469,-2.60089686,11.95876289,25.69444444,8.49150849,-12.41935484,Transportation
SEAL/PB,Seapeak LLC 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred,0.29952931,0.52535649,1.51515152,1.51515152,1.51515152,-2.61627907,-2.4136496,-0.80624011,-0.88757396,0.47129392,Transportation
SBLK,Star Bulk Carriers Corp.,-0.05356186,-1.16525424,0.21470746,0.64690027,1.02813853,-3.16390041,6.32118451,-0.74428495,7.98149219,62.20677672,Transportation
SB,"Safe Bulkers, Inc",-0.31746032,-0.47543582,-0.94637224,-0.94637224,-1.25786164,-3.08641975,-3.6809816,-8.4548105,21.23552124,19.39163498,Transportation
SAVE,"Spirit Airlines, Inc.",0.08813264,1.32597173,-12.16526396,-12.09800919,-21.85159973,-30.42424242,-35.50561798,-30.42424242,-46.82723483,-77.49019608,Transportation
SAIA,"Saia, Inc.",0.65726645,-1.12570356,-1.44875742,0.34709587,4.13350375,-10.07399975,-14.53942977,21.89391363,86.35442117,528.37861525,Transportation
RVSN,Rail Vision Ltd.,-5.22875817,-2.45543222,-13.30343797,-2.45543222,-2.02702703,-42,-41.41414141,-70.10309278,-59.15492958,-90.76433121,Transportation
PXS,Pyxis Tankers Inc.,-0.73643411,-0.42768274,1.09210526,-0.22077922,-1.24678663,3.26612903,10.07163324,-23.32335329,-16.12445415,-50.75,Transportation
PTSI,"P.A.M. Transportation Services, Inc.",0.4764623,0.87719298,-0.74712644,1.82783019,8.34378921,-19.86078886,-32.80155642,-24.58515284,-37.51808973,17.32336957,Transportation
PSHG,Performance Shipping Inc.,2.24719101,1.11111111,-4.71204188,-3.19148936,6.43274854,-7.6142132,71.69811321,136.36363636,-58.8700565,-99.45345345,Transportation
PFGC,Performance Food Group Company,0.01731302,-0.01730703,3.53109876,4.03458213,4.98000727,-1.86884132,-3.44366433,-5.94365738,10.84244867,100.20797227,Transportation
PBI,Pitney Bowes Inc.,0.62402496,1.09717868,2.86624204,2.86624204,5.55555556,6.95364238,-15.22309711,-1.82370821,6.95364238,-50.30769231,Transportation
PATI,"Patriot Transportation Holding, Inc.",0,-0.25974026,-0.13003901,-0.25974026,-0.06506181,-6.05504587,-7.69230769,-15.78947368,-8.2437276,-61.09422492,Transportation
OSG,"Overseas Shipholding Group, Inc.",0.72090628,1.34715026,1.875,2.08768267,0.61728395,11.38952164,21.03960396,26.03092784,75.2688172,65.76271186,Transportation
OP,OceanPal Inc.,-0.19600784,-0.2,3.95833333,3.95833333,-1.77165354,-14.84641638,45.90643275,-53.7962963,-94.84291029,-99.64957865,Transportation
ODFL,"Old Dominion Freight Line, Inc.",0.09570141,-0.32164555,-0.97536609,-0.65411194,2.22547902,-7.93860292,-7.56582984,18.38697511,40.79168691,359.56541188,Transportation
NVGS,Navigator Holdings Ltd.,0.14245014,0.57224607,0.86145011,0.21398003,-0.63649222,-4.87474611,2.18181818,9.85144644,14.22764228,27.61126249,Transportation
NSC,Norfolk Southern Corporation,-0.08898194,-0.18824514,1.34388611,1.71669243,3.39240232,-3.11785914,-18.08775545,-4.95192547,-16.13257726,18.1654899,Transportation
NMM,Navios Maritime Partners LP,0.04508566,-0.58243728,0.13537906,0.13537906,-0.80464908,-4.06398617,-6.41079713,2.25806452,-9.68660969,-1.328442,Transportation
NM,Navios Maritime Holdings Inc.,-0.45045045,-0.22573363,0,0.45454545,0,10.5,16.93121693,24.15730337,16.31578947,-58.30188679,Transportation
NAT,Nordic American Tankers Limited,-0.10857763,-0.43290043,0.43763676,0.21834061,-3.77358491,11.40776699,6.74418605,38.25301205,53,73.20754717,Transportation
MRTN,"Marten Transport, Ltd.",-0.17035775,-0.44228994,-0.50933786,-0.73404856,1.03448276,-10.80669711,-20.27210884,-13.82352941,-5.38213132,40.490069,Transportation
MODV,ModivCare Inc.,-0.59908375,-1.93533434,0.71530758,1.10100527,5.25791179,34.05268169,14.53362256,-38.7914795,-57.08189392,-34.98537787,Transportation
MESA,"Mesa Air Group, Inc.",-0.2268509,-2.7928471,-14.3539823,-12.17785844,-12.01818182,-43.66705471,-77.70046083,-76.27941176,-66.39583333,-96.47816594,Transportation
MCOM,micromobility.com Inc.,1.98150594,-0.51546392,11.14285714,-4.88997555,6.57534247,-33.95585739,-52.96251511,-95.56391835,-99.75048108,-99.9920935,Transportation
MATX,"Matson, Inc.",0.11500863,-1.07954545,-1.07954545,-3.73769767,-2.32271095,-1.88232642,-4.53997149,37.30283912,20.51779039,155.65345081,Transportation
MATH,Metalpha Technology Holding Limited,-0.05747493,0.32051282,0.32051282,0.32051282,-0.28671551,15.07352941,13.90101892,58.08080808,126.97639881,-19.74358974,Transportation
LYFT,"Lyft, Inc.",0.3827228,-1.39634801,2.11581292,-2.75715801,-0.97192225,-12.99810247,-23.4557596,-14.93506494,-36.88919477,-87.75700935,Transportation
LUV,Southwest Airlines Company,-0.28033191,-0.68125977,-0.49239033,-1.2438916,-0.49239033,-17.87957148,-32.73827534,-27.42409403,-38.59116022,-53.06165541,Transportation
LSTR,"Landstar System, Inc.",-0.05458846,-0.50718512,-0.17568304,0.02428068,1.32201931,-6.87238612,-17.62235665,-7.87722927,8.79440116,64.33629201,Transportation
LPG,Dorian LPG Ltd.,0.06257822,1.2987013,4.44299249,5.26835693,1.42766497,11.27741037,11.04550191,46.78604224,81.64772727,310.39794608,Transportation
KNX,Knight-Swift Transportation Holdings Inc.,-0.26508972,-0.52877771,-0.26519788,-0.40741495,2.02420701,-2.51246261,-17.58260283,-14.67713787,3.09995782,55.89923469,Transportation
KNOP,KNOT Offshore Partners LP,-0.87565674,-0.08826125,-1.22164049,-0.87565674,0.8912656,-17.13030747,3.47349177,26.9058296,-61.54891304,-72.43058938,Transportation
KEX,Kirby Corporation,-0.01338688,0.93243243,0.82332299,1.09622412,0,-9.7826087,-7.64094955,4.32960894,10.43761088,9.82064099,Transportation
JYD,Jayud Global Logistics Limited,-0.27365492,-2.26818182,-4.86283186,-7.72103004,-3.14864865,-13.65060241,-31.74285714,-43.49277267,-59.12357414,-59.12357414,Transportation
JTAI,Jet.AI Inc.,3.47222222,2.40549828,4.92957746,-1.97368421,5.67375887,-53.79844961,-85.53398058,-86.24192059,-85.39215686,-84.82688391,Transportation
JBLU,JetBlue Airways Corporation,-0.22025847,0.93959732,-2.08333333,-10.47619048,-8.95883777,-18.26086957,-46.89265537,-46.59090909,-51.79487179,-77.01711491,Transportation
JBHT,"J.B. Hunt Transport Services, Inc.",-0.34792694,-0.15976761,1.1,1.27275941,3.54862032,-8.83195417,-15.22639834,-1.58612002,2.09694666,60.26669153,Transportation
INSW,"International Seaways, Inc.",0.01040042,-0.207555,0.02079867,0.06242197,-2.29581471,6.86666667,15.21322472,32.07909915,16.77999029,122.02216066,Transportation
IMPP,Imperial Petroleum Inc.,-1.7699115,2.11591536,3.72670807,4.375,5.69620253,5.69620253,-41.81184669,-12.00416057,-67.06831491,-67.71871441,Transportation
HUBG,"Hub Group, Inc.",-0.39130435,-2.73138975,-1.91182765,-1.84180468,-1.89783105,-12.46498599,-22.86547739,-6.37341686,-10.13071895,47.5638549,Transportation
HTLD,"Heartland Express, Inc.",-0.2994012,-1.89393939,-4.58265139,-5.43390105,-5.66343042,-20.62627638,-25.39987204,-21.48148148,-21.32253711,-37.74693006,Transportation
HA,"Hawaiian Holdings, Inc.",-0.1183432,-1.97444832,-0.94117647,-2.77136259,7.67263427,-33.49131122,-61.37614679,-48.02469136,-70.43539326,-87.65033734,Transportation
GXO,"GXO Logistics, Inc.",-0.128522,-0.23701363,0.1785006,0.05942948,1.38498595,-13.87894288,-22.41167435,-2.82801077,38.76373626,4.1443299,Transportation
GSL,Global Ship Lease Inc New,-0.11357183,-0.39637599,-1.23595506,-0.90191657,-0.95774648,-4.14394766,-16.84011353,-0.6779661,3.04806565,59.23913043,Transportation
GRIN,Grindrod Shipping Holdings Ltd.,-0.3257329,-1.15001938,-1.4893617,-0.75026795,5.10783201,-1.38445154,7.6744186,-11.89343482,-64.02486402,36.17647059,Transportation
GRAB,Grab Holdings Limited,-0.96774194,0.16313214,-0.96774194,-0.96774194,1.32013201,-13.27683616,-17.25067385,7.34265734,21.34387352,-74.17998318,Transportation
GPP,Green Plains Partners LP,-1.04128203,-2.15731829,0.27173913,2.14532872,5.27817404,-0.80645161,-0.60606061,20.98360656,11.06094808,-2.25165563,Transportation
GOGL,Golden Ocean Group Limited,-0.06882312,-0.54794521,0.13812155,-0.82079343,-2.42261104,-7.99492386,-3.7184595,-13.69047619,-9.82587065,-1.36054422,Transportation
GNK,Genco Shipping & Trading Limited,-0.22744503,-0.90361446,-0.37821483,-0.07587253,0.15209125,-5.86132952,-7.05716302,-3.65764448,-0.37821483,22.62569832,Transportation
GLOP/PA,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference,0.35910941,0.28708134,-1.68855535,-1.31826742,-0.19047619,-12.41119933,-13.53670359,0.7208073,-10.55425635,-17.57766418,Transportation
GLOG/PA,GasLog LP. 8.75% Series A Cumulative Redeemable Perpetual Preference Shares,0.35013032,-1.15275995,-1.40588988,0.52480418,-4.00508635,-7.03983903,-6.36157276,-2.3230444,-2.89785624,-10.56505159,Transportation
GLNG,Golar LNG Limited,0.11163206,0.71877808,0.08924587,0.08924587,-0.04456328,-7.54328112,-6.0720268,5.30516432,-16.74090572,-11.02737009,Transportation
GLBS,Globus Maritime Limited,-1.19760479,-1.78571429,0.61349693,-1.20481928,-4.09356725,-10.86956522,80.4180418,67.27866177,26.15384615,-99.73590982,Transportation
GETR,"Getaround, Inc.",-0.45248869,-3.21161461,-0.04543389,0,-3.930131,-36.96275072,-65.86501164,-42.10526316,-97.77327935,-97.73429454,Transportation
GATX,GATX Corporation,-0.84854231,-0.41896782,2.07906296,1.61290323,2.85208497,-3.90517321,-14.69124725,-4.65858328,2.42899119,43.33881579,Transportation
GASS,"StealthGas, Inc.",-0.17857143,-0.88652482,-0.35587189,-0.44444444,-2.43902439,11.22144985,12.67605634,106.64206642,79.48717949,65.68047337,Transportation
FWRD,Forward Air Corporation,-1,-1.72571778,0.73506412,-9.25612849,-8.45650938,-6.29909805,-45.07546687,-34.2755102,-37.78614894,9.50357021,Transportation
FRO,Frontline Plc,0.38348748,0.58770344,1.13636364,1.83066362,-0.08980692,18.4771033,35.01213592,52.29295003,81.04149715,213.38028169,Transportation
FDX,FedEx Corporation,-0.00832501,0.24621291,0.80611302,1.38501816,4.92046845,-9.36886607,-10.07490637,5.25162195,50.9872972,13.74834186,Transportation
EXPD,"Expeditors International of Washington, Inc.",-0.26469514,-0.51893664,0.13748854,0.24775188,1.39211137,-4.69336125,-12.27718002,-6.99753128,11.54788646,65.93256379,Transportation
ESEA,Euroseas Ltd.,-0.41168398,-2.15716487,-1.96835199,-1.81677619,0,-4.72618155,16.03471905,38.26891671,37.66937669,65.36458333,Transportation
EGLE,Eagle Bulk Shipping Inc.,-0.17106549,-0.39014874,0.44313146,0.31964593,-0.24449878,-2.92648108,-9.57446809,-4.22535211,-15.38780589,24.2765763,Transportation
EDRY,EuroDry Ltd.,0,1.05268793,1.30828581,1.05268793,0.03975089,-1.6286645,7.09219858,-1.94805195,8.632312,24.79338843,Transportation
DSX,Diana Shipping inc.,-0.15360983,-0.6116208,-0.30674847,-0.30674847,-1.51515152,-6.34005764,-11.20218579,-9.97229917,-24.06542056,-11.92411924,Transportation
